uniqueID,Booking_Date,predicted
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-10-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2025-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2025-02-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-03-31,480.4486222738799
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-04-30,419.7439256909126
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-05-31,451.1972837991869
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-06-30,608.2278895887443
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-07-31,521.967339542804
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-08-31,553.4206976510784
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-09-30,736.0071569036088
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-10-31,624.1907533946955
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-11-30,655.6441115029698
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-12-31,863.7864242184731
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2025-01-31,726.4141672465871
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2025-02-28,757.8675253548615
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-03-31,136.9531069427262
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-04-30,62.28618871695279
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-05-31,20.26281375052779
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-06-30,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-07-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-08-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-09-30,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-10-31,0.0
